airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,Command_fault,Command
43.530846,-316.181763,-314.988312,2.990251,-0.411322,2.990251,-0.411322,-309.999847,-310,18.2146,17.439699,3.06415,296.862061,97.546974,0.028567,-0.028698,12.671948,0.005935,0.059705,0.048836,0,1,, takeoff
44.507072,-316.163208,-314.969757,3.007513,-0.415198,3.007513,-0.415198,-309.999847,-310,18.232584,18.110523,3.986767,296.820587,96.646446,0.024908,-0.030923,12.774184,0.005876,0.059805,0.050113,0,1,, takeoff
45.08543,-316.151611,-314.95816,3.013756,-0.411782,3.013756,-0.411782,-309.999847,-310,18.244833,18.512348,4.027364,296.795197,96.152016,0.023303,-0.032066,17.801764,0.005931,0.06015,0.052187,0,1,, takeoff
46.083694,-316.130524,-314.937103,3.020321,-0.405758,3.020321,-0.405758,-309.999847,-310,18.266277,19.211412,4.097907,296.75293,95.377197,0.020377,-0.033526,15.633597,0.005883,0.060275,0.053456,0,1,, takeoff
46.713451,-316.116638,-314.923218,3.024914,-0.402004,3.024914,-0.402004,-309.999847,-310,18.280039,19.656094,4.151466,296.727081,94.942734,0.018902,-0.03421,17.104078,0.005797,0.060406,0.055569,0,1,, takeoff
47.631691,-316.095703,-314.902252,3.031886,-0.397157,3.031886,-0.397157,-309.999847,-310,18.30043,20.308842,4.238523,296.692627,94.389244,0.017447,-0.034574,14.798529,0.005743,0.060498,0.056862,0,1,, takeoff
48.233597,-316.081543,-314.888092,3.036756,-0.394025,3.036756,-0.394025,-309.999847,-310,18.314047,20.740463,4.285384,296.671692,94.078743,0.01701,-0.034532,17.542349,0.005674,0.060638,0.058585,0,1,, takeoff
49.202225,-316.058136,-314.864685,3.044405,-0.389442,3.044405,-0.389442,-309.999847,-310,18.336309,21.439121,4.371435,296.641022,93.669426,0.017063,-0.034008,16.555891,0.005629,0.060735,0.059631,0,1,, takeoff
49.803909,-316.043274,-314.849823,3.049314,-0.386507,3.049314,-0.386507,-309.999847,-310,18.350374,21.876032,4.425665,296.622498,93.471291,0.01735,-0.033654,14.044496,0.005563,0.060888,0.061165,0,1,, takeoff
50.729034,-316.018158,-314.824707,3.056821,-0.382369,3.056821,-0.382369,-309.999847,-310,18.373924,22.602125,4.490413,296.59256,93.237701,0.017937,-0.033033,19.762653,0.005522,0.060986,0.062091,0,1,, takeoff
