airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
91.06086,1378.077759,1379.27124,6.805654,4.086424,6.805654,4.086424,1380.000122,1380,1496.248779,79.907028,1004.007751,332.62616,334.450531,0.147495,0.328582,1000.400269,-0.019462,0.136129,0.1,0,1
91.057816,1382.969727,1384.163086,6.804791,4.085896,6.804791,4.085896,1380.000122,1380,1501.268433,79.992149,1003.858337,332.920776,334.759735,0.147481,0.328588,1000.214539,-0.019459,0.136113,0.1,0,1
91.055809,1386.228027,1387.421509,6.804261,4.085556,6.804261,4.085556,1390.000122,1390,1504.61438,80.049194,1003.759216,333.117188,334.966492,0.147471,0.328594,999.969971,-0.019457,0.136101,0.1,0,1
91.052582,1391.118042,1392.311401,6.803405,4.085053,6.803405,4.085053,1390.000122,1390,1509.632813,80.135193,1003.610474,333.411804,335.277557,0.147456,0.328603,999.848572,-0.019455,0.136085,0.1,0,1
91.050606,1394.377075,1395.570557,6.802879,4.084729,6.802879,4.084729,1390.000122,1390,1512.978027,80.192818,1003.51178,333.608215,335.485504,0.147447,0.32861,999.754028,-0.019453,0.136074,0.1,0,1
91.050537,1399.263306,1400.456787,6.802031,4.084249,6.802031,4.084249,1400.000122,1400,1517.995239,80.279686,1003.363525,333.608215,335.798248,0.147433,0.328621,999.527405,-0.019451,0.136058,0.1,0,1
91.045441,1402.52002,1403.713379,6.80151,4.08394,6.80151,4.08394,1400.000122,1400,1521.3396,80.337875,1003.265076,333.608215,336.007233,0.147423,0.32863,999.391052,-0.01945,0.136046,0.1,0,1
91.042549,1407.405273,1408.598755,6.800668,4.08348,6.800668,4.08348,1410.000122,1410,1526.355591,80.425591,1003.11731,333.608215,336.321472,0.147409,0.328642,999.272644,-0.019447,0.13603,0.1,0,1
91.040619,1410.661255,1411.854736,6.80015,4.083184,6.80015,4.083184,1410.000122,1410,1529.699097,80.484344,1003.019226,333.608215,336.531403,0.147399,0.328652,999.17865,-0.019446,0.136019,0.1,0,1
91.03772,1415.543945,1416.737305,6.799315,4.082742,6.799315,4.082742,1420.000122,1420,1534.713867,80.572884,1002.871887,333.608215,336.846863,0.147385,0.328666,999.022583,-0.019444,0.136003,0.1,0,1
